user,white_games,black_games,total_games,wins_white,wins_black,wins_total,draw_white,draw_black,draw_total,lose_white,lose_black,lose_total,elo,accuracy,accuracy_opening,accuracy_middlegame,accuracy_endgame,win_rate,OpenAcc-meanAcc,MiddleAcc-meanAcc,EndAcc-meanAcc,OpenAcc-meanOpenAcc,MiddleAcc-meanMiddleAcc,EndAcc-meanEndAcc
GMHess,17,14,31,12.0,6.0,18.0,0.0,0.0,0.0,5.0,4.0,9.0,2457.8709677419356,89.3699071729971,94.85148910853408,93.34214731935255,93.34530694173215,0.5806451612903226,5.48158193553698,3.972240146355446,3.975399768735045,-0.061235806726045894,2.5273052432535934,1.9080716461449327
alturas_pacificas,14,16,30,6.0,4.0,10.0,0.0,0.0,0.0,8.0,11.0,19.0,2071.3,86.29758955510245,94.3875741234947,89.11698929956886,92.05509826839449,0.3333333333333333,8.089984568392254,2.819399744466409,5.75750871329204,-0.5251507917654266,-1.6978527765300981,0.6178629728072735
VovAn1991,16,14,30,9.0,10.0,19.0,0.0,0.0,0.0,5.0,4.0,9.0,2398.8,89.41238015552797,95.2716233452618,92.0420637380288,92.23732530440829,0.6333333333333333,5.8592431897338315,2.6296835825008316,2.8249451488803174,0.3588984300016733,1.2272216619298462,0.8000900088210727
PauloCesarCosta,14,16,30,3.0,2.0,5.0,2.0,3.0,5.0,9.0,11.0,20.0,2053.8,84.55192348018322,95.00146635530227,89.82892360791423,89.22801508303931,0.16666666666666666,10.44954287511905,5.277000127731014,4.67609160285609,0.08874144004214202,-0.9859184681847211,-2.209220212547905
megarompa,15,14,29,9.0,9.0,18.0,3.0,3.0,6.0,3.0,2.0,5.0,2595.551724137931,90.8224838576596,95.5505122494849,93.76788569783619,94.07038532519255,0.6206896551724138,4.7280283918252906,2.9454018401765865,3.247901467532941,0.6377873342247682,2.953043621737237,2.633150029605332
WanderingPuppet,12,16,28,3.0,3.0,6.0,0.0,0.0,0.0,7.0,13.0,20.0,2061.035714285714,80.0060876407355,94.4010631093567,88.27405171832909,86.96328694874875,0.21428571428571427,14.394975468621197,8.26796407759359,6.957199308013244,-0.5116618059034295,-2.5407903577698647,-4.473948346838469
Nouki,15,12,27,9.0,5.0,14.0,3.0,4.0,7.0,3.0,3.0,6.0,2627.740740740741,89.14739947849827,96.22641214020794,93.37227300776019,92.96013766645302,0.5185185185185185,7.079012661709669,4.224873529261913,3.81273818795475,1.313687224947813,2.55743093166123,1.5229023708658076
AlmirDzhumaev,13,13,26,7.0,4.0,11.0,0.0,0.0,0.0,6.0,8.0,14.0,2180.3846153846152,84.59036269271814,93.52589318401321,90.60731554845968,91.88950937604176,0.4230769230769231,8.935530491295069,6.016952855741536,7.299146683323613,-1.3868317312469145,-0.20752652763927415,0.45227408045454354
AlexanderL,13,12,25,7.0,9.0,16.0,0.0,0.0,0.0,6.0,2.0,8.0,2484.48,90.17746328120977,95.27997520144942,91.83165528533662,94.13600316415138,0.64,5.10251192023965,1.6541920041268554,3.958539882941608,0.36725028618928945,1.016813209237668,2.698767868564161
lorcho,12,13,25,5.0,5.0,10.0,1.0,2.0,3.0,6.0,6.0,12.0,2412.28,86.52571050593203,94.54634901347991,89.786431358693,92.88679068019589,0.4,8.020638507547886,3.2607208527609686,6.361080174263861,-0.3663759017802164,-1.0284107174059613,1.4495553846086722
pedromartinez91,12,13,25,9.0,5.0,14.0,1.0,2.0,3.0,2.0,6.0,8.0,2123.84,85.01875891864529,94.34672432576514,91.0629149407178,90.55197900888446,0.56,9.327965407119848,6.044156022072514,5.533220090239169,-0.5660005894949904,0.24807286461884814,-0.8852562867027558
DanielNaroditsky,12,13,25,9.0,9.0,18.0,0.0,0.0,0.0,2.0,4.0,6.0,2557.2,90.78968702601823,96.09715987636154,92.12385857009006,93.91050459595307,0.72,5.307472850343316,1.334171544071836,3.120817569934843,1.1844349611014167,1.309016493991109,2.473269300365857
zmaj23,11,13,24,5.0,4.0,9.0,1.0,3.0,4.0,5.0,6.0,11.0,2224.2083333333335,89.31352857054027,94.41514044452572,91.84452118334852,94.22969316331222,0.375,5.101611873985448,2.530992612808248,4.916164592771949,-0.4975844707344095,1.0296791072495637,2.7924578677250054
David_Klein,13,11,24,9.0,4.0,13.0,1.0,1.0,2.0,3.0,6.0,9.0,2359.4166666666665,88.50740545435507,94.11518677608682,92.30617710699791,94.4876775616879,0.5416666666666666,5.60778132173175,3.7987716526428414,5.980272107332837,-0.7975381391733123,1.4913350308989521,3.0504422661006885
FlySooHigh,13,10,23,8.0,3.0,11.0,1.0,4.0,5.0,4.0,3.0,7.0,2357.391304347826,87.8682083778674,95.49606274002721,89.29239272720095,94.03650680170928,0.4782608695652174,7.627854362159809,1.4241843493335438,6.168298423841875,0.5833378247670851,-1.5224493488980073,2.599271506122065
Carolina-moon,12,11,23,0.0,0.0,0.0,1.0,3.0,4.0,8.0,8.0,16.0,1949.3478260869565,80.50517155951836,94.14373719885238,86.66498284652528,88.08725374991288,0.0,13.638565639334018,6.159811287006917,7.582082190394516,-0.7689877164077501,-4.1498592295736785,-3.349981545674339
vovkcoach,13,10,23,7.0,6.0,13.0,0.0,0.0,0.0,6.0,4.0,10.0,2486.8260869565215,86.82229763147733,96.00174685941624,90.46503608016393,90.34345128244435,0.5652173913043478,9.179449227938917,3.6427384486866003,3.5211536509670225,1.0890219441561158,-0.3498059959350286,-1.0937840131428658
petrpalachev,13,10,23,7.0,3.0,10.0,2.0,1.0,3.0,4.0,6.0,10.0,2414.6521739130435,86.59763696703055,94.44149266780855,91.55619343690643,92.77965121270081,0.43478260869565216,7.843855700777993,4.958556469875873,6.18201424567026,-0.47123224745158154,0.7413513608074709,1.3424159171135983
EltajSafarli,12,11,23,10.0,7.0,17.0,2.0,3.0,5.0,0.0,0.0,0.0,2606.1739130434785,93.0286579562171,95.99426220109108,94.61707085162594,95.46648244724352,0.7391304347826086,2.9656042448739726,1.5884128954088368,2.4378244910264186,1.0815372858309473,3.8022287755269844,4.029247151656307
AkshatChandra,10,13,23,7.0,8.0,15.0,0.0,0.0,0.0,3.0,2.0,5.0,2403.4347826086955,88.44321000132241,96.14337224202423,91.24982478560541,93.75850293375748,0.6521739130434783,7.700162240701815,2.806614784282999,5.315292932435071,1.2306473267640996,0.4349827095064569,2.3212676381702693
Yaacovn,11,12,23,6.0,6.0,12.0,2.0,2.0,4.0,3.0,4.0,7.0,2580.9565217391305,87.97923260272432,93.915021107453,92.44235507312669,92.28992965299287,0.5217391304347826,5.935788504728677,4.463122470402368,4.310697050268544,-0.9977038078071274,1.6275129970277362,0.8526943574056531
GulamaliRises,12,11,23,7.0,2.0,9.0,0.0,0.0,0.0,5.0,6.0,11.0,2362.7391304347825,87.39654278556625,94.96546141065772,93.4620067813166,90.01337873704121,0.391304347826087,7.56891862509147,6.065463995750349,2.616835951474954,0.05273649539759617,2.647164705217648,-1.4238565585460066
Chesseducation4u,12,10,22,7.0,3.0,10.0,1.0,1.0,2.0,4.0,6.0,10.0,2300.909090909091,89.05676727345669,95.61845384296463,92.2171947950456,92.59123900505409,0.45454545454545453,6.561686569507941,3.1604275215889146,3.5344717315974066,0.7057289277044987,1.402352718946645,1.1540037094668776
BeerLag,10,12,22,6.0,3.0,9.0,0.0,0.0,0.0,4.0,8.0,12.0,2263.0,87.31065226049533,94.48684759942478,90.43444317716886,90.87854981741023,0.4090909090909091,7.176195338929446,3.123790916673528,3.5678975569149003,-0.4258773158353506,-0.38039889893009615,-0.558685478176983
jup1978,11,11,22,4.0,4.0,8.0,0.0,0.0,0.0,4.0,7.0,11.0,2142.7272727272725,87.73233915662003,96.13847179347962,92.02570910181461,92.02508602007464,0.36363636363636365,8.406132636859596,4.293369945194584,4.29274686345461,1.2257468782194962,1.2108670257156575,0.5878507244874243
chesstatour,11,11,22,5.0,2.0,7.0,0.0,0.0,0.0,5.0,9.0,14.0,1854.1363636363637,81.22613062930833,93.881203682593,87.2171850883027,87.65274621099584,0.3181818181818182,12.655073053284667,5.99105445899437,6.426615581687514,-1.0315212326671315,-3.597656987796256,-3.784489084591371
MinhGTrAn,12,10,22,7.0,4.0,11.0,1.0,1.0,2.0,4.0,5.0,9.0,2439.4545454545455,87.90657097645642,94.70912384602545,90.97984169749544,91.27557682924969,0.5,6.802552869569027,3.073270721039023,3.369005852793265,-0.20360106923467924,0.16499962139648972,-0.16165846633752778
ChessWarrior7197,10,12,22,3.0,6.0,9.0,1.0,1.0,2.0,6.0,5.0,11.0,1971.7272727272727,87.77131168898919,94.88497510599188,90.08130102023377,93.43899800116917,0.4090909090909091,7.113663417002698,2.30998933124458,5.667686312179981,-0.027749809268243553,-0.7335410558651887,2.001762705581953
162a54f5d,12,9,21,5.0,4.0,9.0,2.0,2.0,4.0,5.0,3.0,8.0,2300.4761904761904,87.63012783654175,94.44947631785982,91.30466974551692,93.0577199022388,0.42857142857142855,6.819348481318073,3.674541908975172,5.4275920656970555,-0.4632485974003089,0.48982766941796285,1.620484606651587
gmjlh,11,10,21,4.0,6.0,10.0,3.0,2.0,5.0,4.0,2.0,6.0,2500.809523809524,89.18711735702377,96.15973045398385,92.35055685785665,93.48812785218303,0.47619047619047616,6.972613096960089,3.1634395008328795,4.301010495159261,1.2470055387237267,1.5357147817576902,2.0508925565958123
Rijeka1999,12,9,21,3.0,3.0,6.0,0.0,0.0,0.0,9.0,5.0,14.0,2252.3809523809523,84.45426501213093,95.2713328917979,91.35155844930014,88.86375063767473,0.2857142857142857,10.817067879666965,6.8972934371692105,4.409485625543795,0.358607976537769,0.5367163732011875,-2.5734846579124877
grandmastergauri,11,10,21,8.0,2.0,10.0,1.0,1.0,2.0,2.0,7.0,9.0,2299.3809523809523,87.24608890052332,95.19549265322235,93.05471336558037,92.29353323172816,0.47619047619047616,7.949403752699027,5.808624465057051,5.047444331204844,0.2827677379622173,2.239871289481414,0.8562979361409475
GasconJR,10,10,20,5.0,4.0,9.0,0.0,0.0,0.0,5.0,6.0,11.0,2195.5,84.75209003594752,95.81430598406416,91.09248125066401,88.37609182866545,0.45,11.062215948116645,6.34039121471649,3.6240017927179338,0.9015810688040347,0.2776391745650528,-3.061143466921763
Kacparov,9,11,20,5.0,6.0,11.0,0.0,0.0,0.0,3.0,5.0,8.0,2383.25,89.18872704410518,94.1053860413437,92.55492991140184,93.43823291758774,0.55,4.916658997238528,3.366202867296664,4.249505873482562,-0.8073388739164216,1.7400878353028872,2.0009976220005257
Imre91,10,9,19,7.0,3.0,10.0,1.0,3.0,4.0,2.0,3.0,5.0,2534.9473684210525,89.47978666468596,94.34763855292243,92.90046360648964,94.43983405121521,0.5263157894736842,4.867851888236473,3.420676941803677,4.960047386529254,-0.5650863623376949,2.085621530390682,3.002598755628
VSERGUEI,9,10,19,4.0,7.0,11.0,0.0,0.0,0.0,4.0,3.0,7.0,2327.1052631578946,90.17078076308334,95.71168685491313,93.08490675547726,93.25174878697396,0.5789473684210527,5.5409060918297826,2.9141259923939202,3.0809680238906196,0.7989619396529974,2.270064679378308,1.814513491386748
HansCoolNiemann,10,9,19,2.0,3.0,5.0,1.0,2.0,3.0,7.0,4.0,11.0,1799.6315789473683,86.24312686609292,93.83860704937081,90.69847509487074,93.27723712582528,0.2631578947368421,7.5954801832778855,4.455348228777822,7.034110259732358,-1.0741178658893205,-0.11636698122821088,1.8400018302380658
Sebastian,9,9,18,8.0,5.0,13.0,0.0,0.0,0.0,1.0,4.0,5.0,2535.0555555555557,89.73114249639376,96.48137142826087,92.98238766951326,92.8725273238395,0.7222222222222222,6.750228931867113,3.2512451731195,3.141384827445748,1.5686465130007434,2.167545593414303,1.4352920282522916
ChessTrener,10,8,18,4.0,5.0,9.0,0.0,0.0,0.0,4.0,3.0,7.0,2466.222222222222,86.76650664949086,96.08876991489002,89.42675632957108,91.43813624357578,0.5,9.322263265399158,2.660249680080213,4.671629594084919,1.1760449996298945,-1.388085746527878,0.0009009479885691007
1stSecond,10,8,18,6.0,3.0,9.0,2.0,1.0,3.0,2.0,4.0,6.0,2363.4444444444443,88.31719625911518,94.82379769053767,90.86379092284118,92.89523803534094,0.5,6.506601431422496,2.5465946637259975,4.57804177622576,-0.08892722472245396,0.04894884674222055,1.4580027397537236
Philofive,9,9,18,4.0,3.0,7.0,0.0,0.0,0.0,1.0,6.0,7.0,2243.6666666666665,85.73846983068557,94.97052444730971,90.61365097333508,90.9518928079599,0.3888888888888889,9.23205461662414,4.8751811426495095,5.21342297727432,0.05779953204958588,-0.20119110276387175,-0.4853424876273209
IMLevAltounian,10,8,18,5.0,4.0,9.0,1.0,1.0,2.0,4.0,3.0,7.0,2328.5555555555557,84.41126300889539,95.77970726049415,92.67584104611979,90.40590433911444,0.5,11.36844425159876,8.264578037224396,5.9946413302190535,0.8669823452340211,1.8609989700208303,-1.0313309564727717
GMNeiksans,10,8,18,8.0,3.0,11.0,0.0,0.0,0.0,2.0,3.0,5.0,2498.8333333333335,89.24608163689375,96.28445413784353,91.48777905603933,93.65047426897632,0.6111111111111112,7.038372500949777,2.2416974191455807,4.404392632082576,1.3717292225833972,0.6729369799403742,2.2132389733891102
destroyer305,9,9,18,3.0,4.0,7.0,1.0,1.0,2.0,5.0,4.0,9.0,2162.4444444444443,88.23321497517335,95.39577712267838,90.9666629332348,92.56647361269496,0.3888888888888889,7.162562147505028,2.733447958061447,4.33325863752161,0.48305220741825394,0.1518208571358457,1.129238317107749
BjarkeSahl,9,9,18,5.0,4.0,9.0,0.0,0.0,0.0,4.0,4.0,8.0,2108.722222222222,87.54979950939371,94.90472671536733,91.22123998637903,91.94416034406024,0.5,7.354927205973624,3.6714404769853246,4.394360834666529,-0.007998199892796265,0.4063979102800772,0.5069250484730219
Argente,9,9,18,4.0,3.0,7.0,3.0,1.0,4.0,2.0,5.0,7.0,2183.1666666666665,85.01277106315507,94.7754194101954,92.43385605568272,88.64995240581958,0.3888888888888889,9.762648347040326,7.421084992527653,3.6371813426645048,-0.13730550506473094,1.6190139795837695,-2.7872828897676385
kesarev,9,9,18,3.0,2.0,5.0,4.0,2.0,6.0,2.0,5.0,7.0,2242.3888888888887,85.84410566805244,93.82151820640618,90.02971734864936,91.2088829857658,0.2777777777777778,7.977412538353747,4.185611680596921,5.3647773177133615,-1.0912067088539459,-0.7851247274495989,-0.22835230982141752
liczner,9,9,18,5.0,5.0,10.0,0.0,0.0,0.0,4.0,4.0,8.0,2410.3888888888887,88.56052946141489,95.97804902089173,92.58126779170674,91.0276810242794,0.5555555555555556,7.417519559476844,4.020738330291849,2.4671515628645153,1.0653241056316034,1.766425715607781,-0.40955427130781175
ameet100,9,9,18,6.0,4.0,10.0,0.0,0.0,0.0,3.0,5.0,8.0,2412.5555555555557,87.60393265825992,94.73394961565845,91.11000725053412,90.61817724675915,0.5555555555555556,7.130016957398524,3.506074592274203,3.014244588499224,-0.17877529960168204,0.2951651744351693,-0.8190580488280688
