Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,Moves
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,IMLevAltounian,IMRosen,0-1,2205,2006,180+2,12:57:14 PST,IMRosen won by resignation,"g1f3,g8f6,c2c4,e7e6,g2g3,d7d5,f1g2,d5c4,d1a4,c7c6,a4c4,b7b5,c4b3,c8b7,e1g1,b8d7,d2d4,a7a6,a2a4,f8e7,c1g5,e8g8,b1d2,d8b6,f1d1,c6c5,a4b5,a6b5,a1a8,f8a8,d4c5,d7c5,b3e3,f6d5,e3d4,a8a4,b2b4,a4b4,d4a1,b4a4,a1b2,e7f8,d2f1,c5e4,g5e3,b6a5,e3d4,a4a2,b2b3,a2e2,d1a1,a5b4,b3d3,b4c4,d3d1,d5c3,d4c3,e4c3,d1d8,e2a2,a1a2,c4a2,h2h4,c3e4,d8b6,a2a6,b6d4,a6a8,d4b2,b5b4,f3e5,b7d5,f1e3,e4c3,e3d5,c3d5,b2b3,a8b7,e5d3,b7b5,g2e4,d5c3,e4f3,b5d3"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,Argente,ameet100,0-1,2177,2417,180+2,12:57:19 PST,ameet100 won by resignation,"d2d4,g7g6,e2e4,f8g7,c2c3,d7d6,c1g5,b8d7,b1d2,c7c6,f2f4,g8f6,e4e5,f6d5,c3c4,d5e3,d1b3,e3f1,d2f1,f7f6,g5h4,e8g8,g1f3,d7b6,f1e3,c8e6,d4d5,c6d5,c4d5,b6d5,e3d5,d8a5,b3b4,a5d5,e5f6,g7f6,e1g1,a7a5,b4b6,a8a6,b6f2,f6h4,f2h4,f8f7,f3g5,f7g7,a1e1,e6f5,b2b3,a6c6,f1f2,d5d4,g1h1,d4f6,f2e2,c6c7,h2h3,b7b5,h1h2,a5a4,b3a4,b5a4,h4h6,f5d3,e2f2,d3c4,h6h4,f6f5,h4g3,h7h6,g5f3,c4d5,f3h4,f5f6,f2e2,g8h7,h4f3,e7e6,f3h4,c7c4,e2f2,c4d4,g3g4,g6g5,f4g5,f6f2,g5g6,h7g8"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,bsmail,DanielRensch,0-1,2109,2344,180+2,12:57:46 PST,DanielRensch won by resignation,"d2d4,g8f6,c2c4,e7e6,g1f3,c7c5,d4d5,b7b5,d5e6,f7e6,c4b5,a7a6,e2e3,f8e7,b1c3,e8g8,e3e4,a6b5,f1b5,c8b7,e4e5,f6d5,c3d5,b7d5,b5e2,b8c6,e1g1,d5a2,c1e3,a2d5,d1c2,d8b6,a1c1,a8a2,e3c5,e7c5,c2c5,b6c5,c1c5,a2b2,f1e1,c6b4,c5c7,d5f3,e2f3,b4d3,e1f1,d3e5,f3e4,d7d5,e4b1,e5c4,b1d3,c4e5,d3a6,e5g4,h2h3,g4f2,a6c8,b2e2,c7e7,f8f6,c8e6,g8f8,e7d7,e2e6,d7d5,f2e4,f1f6,e4f6,d5a5,h7h5,g2g3,f8f7,g1g2,e6e2,g2f3,e2h2,h3h4,h2d2,f3f4,d2f2,f4e3,f6g4,e3e4,g7g6,a5a7,f7f6,a7a6,f6g7,a6a7,f2f7,a7a6,g7h6,a6b6,f7a7,b6c6,a7a3,e4f4,a3a4,f4f3,g4e5"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,jcibarra,wonderfultime,0-1,2437,2501,180+2,12:57:53 PST,wonderfultime won by resignation,"e2e4,e7e6,d2d4,d7d5,b1c3,d5e4,c3e4,c8d7,g1f3,d7c6,e4g5,b8d7,g5f7,e8f7,f3g5,f7e8,f1c4,c6g2,h1g1,g2d5,g5e6,d5e6,c4e6,d8e7,d1e2,g8f6,c1f4,d7b6,e1c1,e8d8,g1e1,e7b4,c2c3,b4a5,e2f3,c7c6,e1e5,a5a6,d4d5,c6c5,d5d6,b6d7,f4g5,f8d6,e5d5,d8c7,d5d6,a6d6,g5f4,d7e5,d1d6,e5f3,d6d3,c7c6,d3f3,a8e8,e6b3,h8f8,c3c4,e8e4,f4e3,b7b6,f3f5,f8d8,a2a3,d8d6,f5g5,g7g6,c1b1,e4g4,g5e5,g4e4,e5g5,c6b7,g5g1,f6g4,b3c2,e4c4,c2b3,g4e3,f2e3,c4h4"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,162a54f5d,GMBenjaminBok,0-1,2340,2585,180+2,12:58:10 PST,GMBenjaminBok won by resignation,"d2d4,g8f6,c2c4,g7g6,b1c3,d7d5,g1f3,f8g7,d1a4,c8d7,a4b3,d5c4,b3c4,e8g8,c1f4,c7c6,e2e4,b7b5,c4b3,c6c5,d4c5,b8a6,a1d1,a6c5,b3b4,c5e6,f4e5,a7a5,b4b3,b5b4,c3d5,f6e4,e5g7,g8g7,b3e3,e4d6,d5e7,d8e7,e3e5,e7f6,d1d6,a8e8,e5f6,g7f6,f1e2,d7c8,e1g1,f6g7,e2b5,e8e7,f1c1,e6f4,g1f1,c8b7,f3e1,f8b8,b5d3,b8e8,f2f3,e7e6,d6d7,f4d3,e1d3,b7c6,d7d4,c6b5,c1c2,e6e1,f1f2,e1d1,d4d5,b5d3,c2c7,e8e2,f2g3,d1d2,d5d7,e2g2,g3f4,g6g5,f4e3,g2e2"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,MoreChessJulia,RitvarsReimanis,0-1,1882,2241,180+2,12:59:14 PST,RitvarsReimanis won by resignation,"d2d4,g8f6,c2c4,e7e6,b1c3,f8b4,e2e3,e8g8,g1e2,f8e8,g2g3,e6e5,d4d5,c7c6,f1g2,c6d5,c4d5,d7d6,a2a3,b4c3,e2c3,c8g4,f2f3,g4d7,e3e4,a7a5,d1e2,b8a6,c1e3,a8c8,e1g1,a6c5,h2h4,c5b3,a1d1,a5a4,g1h2,d8a5,e2f2,d7b5,f1e1,a5a6,g2h3,c8c4,c3b5,a6b5,d1d3,c4c7,e1d1,h7h6,e3b6,c7c1,d1c1,b3c1,d3c3,c1d3,h3f1,d3f2,f1b5,e8a8,b5e2,f2e4,f3e4,f6e4,c3c7,g7g6,h4h5,g8g7,h5g6,g7g6,c7b7,f7f5,b7d7,a8b8,e2f3,b8b6,f3e4,f5e4,h2g1,g6g5,d7g7,g5f5,g1f1,e4e3,f1e2,b6b2,e2e3,b2b3,e3f2,b3a3,g7d7,f5e4,d7d6,a3a2,f2f1,a4a3,d6h6,e4d5,h6a6,d5e4,f1g1,e4f3,a6f6,f3g3,f6g6,g3f3,g6f6,f3e3"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,Zhani-Z,rhungaski,1-0,2041,2406,180+2,12:59:20 PST,Zhani-Z won by resignation,"e2e4,d7d6,d2d4,g8f6,b1c3,e7e5,g1f3,b8d7,f1c4,f8e7,e1g1,e8g8,f1e1,c7c6,a2a4,a7a5,h2h3,e5d4,f3d4,d7c5,c4f1,c8e6,b2b3,d8b6,c1b2,a8d8,d1f3,f6d7,a1d1,d7e5,f3g3,e6c8,f2f4,e5g6,g3f2,e7f6,g2g3,f8e8,f1g2,c5a6,d1d2,a6b4,e1d1,b6c5,c3b1,c5h5,g1h2,c8g4,d1f1,g4c8,b1a3,d6d5,e4e5,f6e7,f1e1,e7c5,c2c3,b4a6,a3c2,g6e7,c2e3,f7f6,e5f6,g7f6,d2e2,e7g6,e3d5,c6d5,e2e8,d8e8,e1e8,g8f7,e8c8,h5d1,g2d5,f7e7,f2e2,d1e2,d4e2,e7d7,d5b7,a6c7,c8c7,d7c7,b7e4,g6f8,h2g2,h7h6,g2f3,f8d7,c3c4,c5e7,e4f5,d7c5,f5c2,c5e6,e2d4,e6c5,d4f5,e7f8,b2f6,c5a6,h3h4,a6b4,c2b1,b4c6,g3g4,c7d7,g4g5,h6g5,f4g5,f8c5,f6c3,d7e6,g5g6,c5b4,c3b2,c6e5,b2e5,e6e5,g6g7"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,oggy1984,Philofive,0-1,2191,2209,180+2,12:59:48 PST,Philofive won by resignation,"e2e4,e7e6,d2d4,d7d5,b1c3,f8b4,e4e5,g8e7,d1g4,e7f5,g1f3,b8c6,a2a3,h7h5,g4f4,b4e7,c3e2,h5h4,c2c3,b7b6,g2g4,h4g3,e2g3,f5g3,f4g3,g7g6,h2h4,c6a5,h4h5,h8h5,h1h5,g6h5,g3g8,e8d7,g8f7,a5b3,f3g5,d7c6,g5e6,d8d7,f1h3,b3a1,b2b4,a1b3,b4b5,c6b5,a3a4,b5a5,c1d2,b3d2,e1d2,c8a6,f2f4,a8h8,f7g7,h8e8,g7g6,d7a4,g6c2,a4c2,d2c2,c7c5,f4f5,c5d4,c3d4,a6c8,e6c7,e8f8,e5e6,c8b7,c2d3,e7d6,e6e7,d6e7,c7e6,f8f7,e6f4,e7d6,f4g6,b7c8,g6e5,f7f5,e5c6,a5a6,c6b8,d6b8,d3e3,a6b7,h3g2,a7a5,e3d3,b7c6,d3c3,f5g5,g2h1,g5g3,c3b2,c8a6,b2a2,a6c4,a2b2,b6b5,b2c2,b5b4,c2b2,g3h3,h1g2,h3h2,b2a1,h2g2,a1b1,h5h4,b1c1,h4h3,c1b1,g2e2,b1c1,h3h2"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,grandmastergauri,AlmirDzhumaev,1-0,2339,2265,180+2,12:59:50 PST,grandmastergauri won by resignation,"e2e4,e7e5,g1f3,b8c6,f1c4,g8f6,d2d3,f8c5,e1g1,d7d6,f1e1,e8g8,c2c3,c8g4,b1d2,h7h6,h2h3,g4h5,d2f1,h5g6,f1g3,f6h5,g1h2,c5f2,g3h5,f2e1,h5g7,e1c3,c1h6,c3b2,a1b1,g8h7,d1d2,b2c3,d2e3,c3d4,e3d2,d8f6,b1f1,h7g8,f3d4,f6f1,d4f5,g8h7,h6e3,f8g8,e3f2,g6f5,d3d4,f1c4,g7f5,g8g6,d2d1,a8e8,d1h5,h7g8,f5h6,g8f8,h6f5,c6e7,h5h8,e7g8,f2e3,e8e6,e3h6,f8e8,f5g7,g6g7,h6g7,e8d7,h8g8,e6g6,d4d5,c7c6,g8f7,d7c8,f7g6,c6d5,e4d5,c8c7,g6f7,c7b6,g7f8,b6c5,f7c7,c5d5,c7c4,d5c4,f8d6,e5e4,d6f4,c4d3,h3h4,e4e3,h4h5,e3e2,f4g3,b7b5,h5h6,d3d2,h6h7,e2e1q,g3e1,d2e1,h7h8q,a7a6,h8b2,e1d1,g2g4,b5b4,g4g5,a6a5,g5g6,a5a4,g6g7,a4a3,b2b3,d1c1,b3b4,c1c2,b4b3,c2c1,b3a3,c1b1,g7g8q,b1c2,h2g3"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.11.25,9,Yaacovn,GedoGluperd,1-0,2604,2339,180+2,13:00:03 PST,Yaacovn won on time,"d2d4,g8f6,g1f3,g7g6,c2c4,f8g7,b1c3,e8g8,g2g3,d7d6,f1g2,c7c6,e1g1,d8a5,c1g5,h7h6,g5f6,g7f6,e2e3,f6g7,a2a3,a5h5,f3h4,c8g4,g2f3,g4f3,d1f3,h5a5,b2b4,a5c7,f1c1,b8d7,h4g2,e7e6,h2h4,d7b6,c4c5,b6d7,c5d6,c7d6,c3e4,d6d5,g2f4,d5b5,e4d6,b5b6,h4h5,g6g5,f4d3,b6c7,d6e4,f7f5,e4c5,a8e8,c5d7,c7d7,d3c5,d7f7,b4b5,g5g4,f3g2,b7b6,c5a6,c6b5,a6c7,e8c8,c7b5,f7h5,b5a7,c8c1,a1c1,h5f7,a7c6,f7c7,g2f1,c7d6,a3a4,h6h5,f1b5,h5h4,g3h4,f8f6,b5b6,g8h7,a4a5,g4g3,c6e5,g3f2,g1f2,d6a3,c1c7,a3a2,f2e1,f5f4,c7g7,h7g7,b6c7,g7g8,c7d8,f6f8,d8g5,g8h7,g5g6,h7h8,g6h6,h8g8,h6g6,g8h8,e5f7,f8f7,g6f7,f4e3,f7h5,h8g8,h5g5,g8f7,g5f4,f7e7,f4e3,a2a5,e1f2,a5a2,f2g3,a2b1,h4h5,b1h1,e3g5,e7d6,g5d8,d6c6,d8a8"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,Philofive,Carolina-moon,1-0,2274,1899,180+2,11:03:30 PST,Philofive won by resignation,"d2d4,f7f5,b1c3,g8f6,c1g5,d7d5,g5f6,e7f6,e2e3,c8e6,d1f3,f8b4,f1d3,b4c3,b2c3,d8d7,g1e2,c7c6,a1b1,g7g6,h2h4,h7h5,e2f4,e6f7,h1h3,h8g8,h3g3,b8a6,d3a6,b7a6,f4d3,e8e7,f3f4,d7d6,b1b7,e7e6,d3c5"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,WanderingPuppet,gmsakk,0-1,2059,2368,180+2,11:04:23 PST,gmsakk won by resignation,"e2e4,c7c5,g1f3,e7e6,d2d4,c5d4,f3d4,a7a6,f1d3,d8c7,d1e2,g7g6,e1g1,f8g7,d4b3,d7d6,b1c3,g8f6,c1f4,b8d7,h2h3,e8g8,a1d1,b7b5,f4h2,d7e5,f1e1,c8b7,f2f4,e5d3,c2d3,b5b4,c3b1,a6a5,b1d2,a5a4,b3c1,d6d5,f4f5,c7b6,g1h1,d5e4,f5e6,b6e6,d2e4,f6e4,d3e4,f8e8,c1d3,e6a2,d3b4,a2b2,e2b5,b7e4,e1g1,a4a3,b5c4,a3a2,b4a2,a8a2"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,jlandaw,alexsuper1987,1-0,2333,1989,180+2,11:04:27 PST,jlandaw won by resignation,"e2e4,e7e6,d2d4,d7d5,e4e5,c7c5,c2c3,b8c6,g1f3,d8b6,f1d3,c8d7,d4c5,f8c5,e1g1,b6c7,f1e1,g8e7,b2b4,c5b6,c1a3,a7a6,b4b5,c6a5,a3d6,c7d8,a2a4,a8c8,f3g5,a5c4,d1h5,g7g6,h5h6,c4d6,e5d6,e7f5,d3f5,g6f5,h6g7,h8f8,g5h7"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,Dr-Bassem,AlmirDzhumaev,1-0,2374,2069,180+2,11:04:38 PST,Dr-Bassem won by resignation,"e2e4,e7e5,g1f3,b8c6,f1b5,a7a6,b5a4,g8f6,d1e2,b7b5,a4b3,f8c5,a2a4,b5b4,b3f7,e8f8,f7b3,d7d6,h2h3,a6a5,d2d3,h7h6,c1e3,g7g5,b1d2,f8g7,b3d5,c8d7,e3c5,d6c5,d5c6,d7c6,f3e5,c6e8,d2c4,d8d4,e2e3,h8f8,e3d4,c5d4,e1g1,f6h5,g2g3,c7c5,g1g2,a8a6,b2b3,e8f7,e5f7,f8f7,a1e1,g7g6,e4e5,h5g7,e1e4,g7e6,f2f4,g5f4,g3f4,g6h5,f4f5,e6g5,e4g4,a6a8,g2g3"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,DanielNaroditsky,Imre91,1-0,2406,2535,180+2,11:05:30 PST,DanielNaroditsky won by resignation,"e2e4,e7e6,d2d4,d7d5,b1d2,b8c6,g1f3,g8f6,e4e5,f6d7,f1d3,c6b4,d3e2,c7c5,c2c3,b4c6,e2d3,d8b6,e1g1,c5d4,c3d4,c6d4,f3d4,b6d4,d2f3,d4b6,d1a4,f8e7,c1e3,b6b4,a4c2,g7g6,h2h3,e8g8,a2a3,b4a5,b2b4,a5d8,c2d2,d7b6,e3h6,f8e8,d2f4,e7f8,f3g5,d8e7,f4h4,b6d7,d3b5,f8h6,h4h6,d7f8,b5e8,e7e8,a1c1,e8e7,c1c3,f7f5,e5f6,e7f6,c3c7,c8d7,g5h7,f8h7,c7d7,h7f8,d7b7,d5d4,f1c1,f6e5,c1c7"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,A-Fier,ItalianMachine,1-0,2537,2164,180+2,11:06:04 PST,A-Fier won by resignation,"e2e4,g8f6,e4e5,f6d5,d2d4,d7d6,c2c4,d5b6,f2f4,d6e5,f4e5,g7g6,c1e3,f8g7,b1c3,c7c5,d4c5,b6d7,e5e6,f7e6,g1f3,e8g8,f1e2,b8a6,c3e4,d8c7,e1g1,d7c5,e4c3,b7b6,d1c2,c8b7,a1e1,a8d8,a2a3,e6e5,b2b4,c5e6,c3b5,c7b8,c2a2,e6d4,e3d4,e5d4,e2d3,b7f3,g2f3,g8h8,e1e7,b8f4,a2e2,a6b8,e7e4,f4g5,g1h1,a7a6,b5c7,b8c6,c7e6,g5h5,e6f8,d8f8,f3f4,h5e2,e4e2,g7h6,e2e6,f8c8,f4f5,a6a5,f5g6,h7g6,e6g6,h6e3,f1f3"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,SL0M,162a54f5d,1-0,2015,2294,180+2,11:06:09 PST,SL0M won by checkmate,"g1f3,f7f5,d2d3,d7d6,e2e4,e7e5,b1c3,c7c5,g2g3,b8c6,f1g2,g8f6,e1g1,f8e7,c1g5,e8g8,d1d2,c8e6,g5f6,e7f6,c3d5,e6d5,e4d5,c6e7,c2c4,d8e8,a2a3,b7b5,b2b4,b5c4,d3c4,e5e4,f3g5,c5b4,a3b4,f6a1,f1a1,e8c8,d2d4,e7g6,g5e6,f8f7,c4c5,a7a5,c5c6,a5b4,a1a8,c8a8,d4b4,g6f8,b4d6,f8e6,d6e6,a8a1,g2f1,a1f6,e6f6,g7f6,d5d6,g8f8,c6c7,f8e8,c7c8q"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,LittlePeasant,MbMaster,1-0,2396,2103,180+2,11:06:54 PST,LittlePeasant won by resignation,"d2d4,d7d6,g1f3,g7g6,c2c4,f8g7,g2g3,b8d7,f1g2,e7e5,e1g1,g8e7,b1c3,e8g8,e2e4,c7c5,d4d5,a7a6,a1b1,h7h6,b2b4,b7b6,f3e1,f7f5,e1d3,f5f4,a2a4,g6g5,a4a5,c5b4,d3b4,b6a5,b4c6,d8e8,c1a3,d7c5,a3c5,d6c5,c6e7,e8e7,c3a4,f8d8,a4b6,a8b8,b6c8,b8c8,g2h3,c8c7,d1a4,h6h5,h3e6,g8h8,a4a5,g5g4,f1d1,d8d6,e6f5,g7f6,b1b6,h5h4,a5a6,d6b6,a6b6,h4g3,d5d6,g3f2,g1f1,e7d8,b6c7"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,PauloCesarCosta,rhungaski,0-1,2098,2396,180+2,11:06:59 PST,rhungaski won on time,"g1f3,g8f6,c2c4,e7e6,d2d4,f8b4,c1d2,a7a5,a2a3,b4d2,d1d2,a5a4,b1c3,d7d6,g2g3,e8g8,f1g2,b8d7,e1g1,d8e7,a1d1,a8a6,f1e1,f8e8,e2e4,e6e5,c3d5,e7d8,d4e5,d6e5,d2c2,d7c5,d5b4,a6d6,d1d6,d8d6,b4d5,c7c6,d5f6,d6f6,f3d2,e8d8,b2b4,a4b3,d2b3,f6e7,b3c5,e7c5,a3a4,h7h5,h2h4,d8d4,e1c1,c8e6,g2f1,g7g6,g1g2,b7b6,f1d3,c5d6,d3f1,d6b4,c4c5,d4d2,c2c3,b4e4,c3f3,e6h3"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,AUSSIE_PINOY,MattyDPerrine,1-0,2305,1984,180+2,11:07:02 PST,AUSSIE_PINOY won by resignation,"d2d4,g8f6,g1f3,c7c5,d4d5,b7b5,a2a4,c8b7,c2c4,b5c4,b1c3,d8a5,c1d2,d7d6,e2e4,b7a6,e4e5,d6e5,f3e5,g7g6,d5d6,a5b6,a4a5,b6b7,f1e2,e7d6,d1a4,e8d8,e2f3,b7e7,e1g1,d6e5,f3a8,b8d7,a4c6,e7d6,c6f3,f8g7,d2g5,d8c8,f1d1,d6c7,c3d5,f6d5,f3d5,f7f5,a8c6,h8d8,g5d8"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,playerzr,RitvarsReimanis,0-1,1908,2281,180+2,11:07:06 PST,RitvarsReimanis won by resignation,"d2d4,d7d5,c2c4,e7e6,g1f3,c7c6,d1c2,f7f5,g2g3,g8f6,f1g2,f8d6,e1g1,e8g8,b2b3,d8e7,a2a4,f6e4,c1a3,b8d7,a3d6,e4d6,b1d2,a7a5,f3e1,e7f6,e2e3,f6h6,e1d3,d7f6,d3e5,d6f7,f2f3,f7e5,d4e5,h6e3,g1h1,e3e5,a1e1,e5d6,c4c5,d6c7,f1f2,e6e5,f2e2,e5e4,f3e4,f5e4,d2f1,c8f5,f1e3,f5g6,c2c3,f6d7,e3c2,c7e5,c2d4,d7f6,g2h3,e5h5,h3e6,g8h8,e2g2,e4e3,g3g4,h5e5,e6f5,g6f5,g4f5,a8e8,e1g1,f6e4,c3e1,e4f2,g2f2,e3f2,e1f2,e5e4,g1g2,f8f6,h2h3,e4e1,h1h2,e1f2,g2f2,e8e4"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,GM_Barcenilla,jasrom,1-0,2656,2203,180+2,11:07:19 PST,GM_Barcenilla won on time,"e2e4,e7e6,c2c4,d7d5,c4d5,e6d5,e4e5,c7c5,f2f4,b8c6,g1f3,g8h6,b1c3,f8e7,d2d3,c8e6,g2g3,d8d7,f1g2,a8d8,e1g1,e6h3,d3d4,e8g8,c3d5,h3g2,d5e7,d7e7,g1g2,c6d4,f3d4,d8d4,d1e2,h6f5,g3g4,f5h4,g2g1,f8d8,c1e3,d4d3,a1d1,c5c4,d1c1,b7b5,e2f2,h4g6,c1e1,e7d7,h2h3,d7d5,f2g2,d5d7,e1e2,g6h4,g2f2,d7e7,f4f5,e7e5,f2h4"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,bugsbunny444,SidArun,1-0,2233,1828,180+2,11:07:38 PST,bugsbunny444 won by checkmate,"g1f3,g8f6,c2c4,g7g6,b2b4,f8g7,c1b2,a7a5,b4b5,e8g8,g2g3,d7d5,c4d5,f6d5,b2g7,g8g7,d1b3,e7e6,f1g2,d8f6,d2d4,a5a4,b3b2,c7c5,b5c6,b8c6,e1g1,a8a6,b1a3,a6b6,b2d2,f6e7,a3c4,b6b4,f1c1,f7f6,e2e4,d5b6,c4b6,b4b6,d4d5,e6d5,e4d5,c6e5,f3d4,c8d7,c1c7,f8c8,c7c8,d7c8,a1c1,c8d7,h2h3,e7d6,f2f4,e5f7,g1h2,a4a3,c1c2,d7a4,d4e6,g7h6,c2c4,f6f5,c4a4,b6b2,d2d4,g6g5,d4g7,h6h5,g7h7,f7h6,e6g7"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,AungTZ,DanielRensch,0-1,2009,2346,180+2,11:07:44 PST,DanielRensch won by resignation,"e2e4,c7c5,g1f3,d7d6,d2d4,c5d4,f3d4,g8f6,b1c3,g7g6,f1e2,f8g7,c1e3,e8g8,d4b3,b8c6,e1g1,c8e6,f2f4,a8c8,f4f5,e6d7,d1d2,c6e5,e3h6,a7a5,a2a4,c8c3,h6g7,g8g7,d2c3,f6e4,c3e3,e4f6,f5g6,h7g6,h2h3,d8c7,b3d4,c7c5,c2c3,b7b6,g1h1,f8h8,e3g3,g7f8,e2b5,d7c8,d4f3,e5f3,f1f3,c8b7,f3f1,f8g7,b5e2,f6e4,g3f3,f7f5,a1d1,c5e5,h1g1,e5c5,g1h1,c5e5,e2d3,e4g3,f3g3,e5g3,f1e1,h8h3"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,chessmachined,Gevorg_Harutjunyan,0-1,2140,2427,180+2,11:07:52 PST,Gevorg_Harutjunyan won by resignation,"d2d4,g8f6,c2c4,g7g6,b1c3,f8g7,e2e4,d7d6,f1d3,e8g8,g1e2,c7c5,d4d5,e7e6,e1g1,b8d7,h2h3,d7e5,f2f4,e5d3,d1d3,e6d5,c4d5,f8e8,g1h1,b7b5,e4e5,d6e5,f4e5,e8e5,c1f4,c5c4,d3f3,e5f5,g2g4,f5d5,c3d5,f6d5,a1d1,c8b7,h1h2,d8d7,e2c3,a8d8,c3d5,b7d5,f3f2,d7b7,f4g3,h7h6,f2c5,g7b2,g3h4,b2e5,h2g1,d8d7,f1e1,e5g7,e1e8,g8h7,h4g3,d5h1,c5f2,d7d1,g1h2,h1f3,g3e5,g7e5,e8e5,b7c7,f2f3,c7e5,h2g2,d1d2,g2f1,e5a1"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,vinceyoung15,Kacparov,0-1,1969,2303,180+2,11:07:56 PST,Kacparov won by resignation,"e2e4,c7c5,c2c3,d7d6,d2d4,g8f6,f1d3,b8c6,g1f3,e7e5,d4d5,c6e7,c3c4,e7g6,b1c3,f8e7,c3e2,f6h5,e2g3,h5f4,c1f4,e5f4,g3f5,e8g8,f5e7,d8e7,e1g1,c8g4,h2h3,g4f3,d1f3,g6e5,f3e2,f4f3,g2f3,e7f6,e2e3,e5g6,e4e5,g6e5,g1g2,a8e8,a1e1,h7h5,b2b3,h5h4,d3c2,e8e7,e3c3,f8e8,e1e4,e5d7,c3e3,e7e4,f3e4,f6g6,g2h2,d7f6,f1g1,g6h5,f2f4,h5h6,e3f3,f6h5,g1g5,h5g3,g5g3,h4g3,f3g3,h6f6,e4e5,d6e5,g3d3,e5e4,d3e3,f6b2,e3e2,b2d4,h2g3,e4e3,e2h5,g7g6,c2g6,d4g7,f4f5,e3e2"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,liczner,gumersindo,1-0,2407,2102,180+2,11:08:07 PST,liczner won by checkmate,"e2e4,e7e5,g1f3,b8c6,f1b5,g8f6,e1g1,f6e4,d2d4,e4d6,b5c6,d7c6,d4e5,d6f5,d1d8,e8d8,b1c3,d8e8,h2h3,h7h5,b2b3,f8e7,c1b2,c8e6,c3e2,c6c5,a1d1,a7a5,e2f4,h8h6,g2g4,h5g4,h3g4,f5h4,f3h4,h6h4,f2f3,e6d7,e5e6,f7e6,b2g7,e7d6,f4g6,h4h7,g7e5,d6e5,g6e5,a5a4,g1g2,a4b3,a2b3,a8a2,f1f2,d7c8,g2g3,b7b6,g4g5,h7g7,f3f4,c8b7,f2h2,b7d5,h2h8,e8e7,c2c4,a2a3,c4d5,a3b3,g3g4,c5c4,d5e6,e7e6,h8e8,g7e7,f4f5,e6e5,e8e7"
*** Titled Tuesday 3|2 Blitz,Chess.com,2014.12.30,1,Houdinovic,swayamsm,1-0,2259,2337,180+2,11:08:14 PST,Houdinovic won by resignation,"e2e4,e7e6,d2d4,d7d5,b1c3,g8f6,c1g5,f8b4,e4e5,h7h6,g5d2,b4c3,b2c3,f6e4,d1g4,g7g6,g4f4,c7c5,f1d3,e4d2,f4d2,d8a5,d4c5,b8d7,g1f3,d7c5,e1g1,c8d7,d2f4,a5c3,f4f6,h8g8,f1d1,a8c8,h2h4,d7a4,f6f4,b7b5,a1c1,g8h8,f4f6,h8g8,f6f4,h6h5,f3g5,c8c7,d3e2,c7e7,d1d2,c5d7,g5f3,a7a6,d2d3,c3c7,f4d4,c7c5,d3c3,c5c3,d4c3,e8f8,c3a3,d7b6,f3d4,f8e8,a3c5,e7b7,c5c6,b7d7,c6b6,g8f8,b6b8,d7d8,b8c7,d8d7,c7c8,d7d8,c8c6,e8e7,c6c5,e7d7,c5d6,d7c8,d6a6,c8d7,e2b5,a4b5,d4b5,d8c8,a6b7,d7d8,b5d6,c8c3,c1b1,f7f5,b7a7"
