Event,Site,Date,Round,White,Black,Result,WhiteElo,BlackElo,TimeControl,EndTime,Termination,Moves
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,DaPazz,mokerslag,0-1,1867,2297,180+2,12:06:09 PDT,mokerslag won by resignation,"g1f3,d7d5,d2d4,g8f6,c2c4,e7e6,b1c3,f8e7,c1g5,e8g8,e2e3,b7b6,a1c1,c8b7,c4d5,f6d5,g5e7,d8e7,f1e2,b8d7,e1g1,c7c5,a2a3,f8d8,d1c2,a8c8,e2d3,g7g6,c2e2,d5c3,c1c3,c5d4,c3c8,d8c8,f3d4,d7c5,d3b1,e6e5,d4f3,b7a6,e2d2,a6f1,g1f1,c8d8,d2c1,e7d7,f1e1,f7f6,b1a2,g8g7,a2b1,a7a5,h2h3,a5a4,e1e2,d7b5,e2e1,d8c8,c1d2,c5b3"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,exoticprincess,GMHess,1-0,2405,2433,180+2,12:06:27 PDT,exoticprincess won by resignation,"e2e4,e7e5,g1f3,b8c6,c2c3,g8f6,d2d3,f8e7,f1e2,e8g8,e1g1,d7d5,b1d2,h7h6,b2b4,a7a6,a2a3,c8e6,f1e1,d8d7,d1c2,a8d8,d2f1,f8e8,f1g3,e7f8,h2h3,d7d6,e2f1,d5e4,d3e4,c6e7,c3c4,e7g6,c1b2,c7c5,b4b5,a6b5,c4b5,c5c4,b2c3,d6c7,c2b2,e6c8,a1c1,f8c5,f1c4,c5f2,g1f2,c7c5,c3d4"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,MichiganEagle,dsanchez1973,1-0,2297,1850,180+2,12:06:29 PDT,MichiganEagle won by resignation,"d2d4,d7d5,g1f3,c7c6,c2c4,e7e6,e2e3,g8f6,b1d2,b8d7,b2b3,f8d6,f1d3,e8g8,c1b2,f8e8,f3e5,d7f8,e1g1,d6e5,d4e5,f6d7,f2f4,d8b6,d1f3,f8g6,g1h1,g6e7,e3e4,a7a5,e4d5,c6d5,c4d5,e7d5,d2c4,b6a7,c4d6,e8f8,f4f5,a7e3,f5e6,f7e6,f3e3,d5e3,f1e1,e3g4,d3c4,d7b6,c4e2,g4f2,h1g1,f2e4,d6e4"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,David_Klein,alexsuper1987,1-0,2341,2007,180+2,12:06:42 PDT,David_Klein won by resignation,"e2e4,b8c6,g1f3,f7f5,e4f5,d7d5,d2d4,c8f5,f1b5,g8f6,e1g1,g7g6,f3e5,f5d7,b5c6,d7c6,f1e1,c6d7,b1c3,f8g7,c1g5,e8g8,g5f6,e7f6,e5d7,d8d7,d1f3,c7c6,c3d1,a8e8,d1e3,e8e4,c2c3,f8e8,e3c2,e4e1,a1e1,e8e1,c2e1,d7e6,e1d3,g7h6,g2g3,e6e4,g1g2,e4f3,g2f3,b7b6,d3b4,h6c1,b4d3,c1h6,d3b4,h6c1,b2b3,c1d2,b4c6,d2c3,f3e3,g8f7,c6a7,f7e6,a7b5,c3b2,e3d2,e6d7,d2c2,b2a1,c2b1,d7c6,a2a4,a1d4,b5d4,c6c5,d4c2"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,GeorgMeier,marabu44,1-0,2524,2223,180+2,12:06:45 PDT,GeorgMeier won by checkmate,"g1f3,d7d5,g2g3,g8f6,f1g2,g7g6,e1g1,f8g7,d2d4,e8g8,b1d2,b8d7,c2c4,c7c6,b2b3,d7b6,c1b2,c8f5,a1c1,f5e4,e2e3,e4d3,f1e1,f6e4,d2e4,d3e4,g2f1,a8c8,f3d2,e4f5,d1e2,d8d7,e3e4,d5e4,d2e4,g7d4,c1d1,c6c5,e4c5,c8c5,b2d4,d7c7,d4c5,c7c5,e2e7,c5c8,f1g2,b6d7,d1d5,d7b6,d5d6,c8c5,e7e5,c5b4,e1d1,f5g4,d1d2,b4a3,h2h3,g4f5,g3g4,f5b1,c4c5,b6c8,d6d8,b1a2,d8f8,g8f8,d2d8"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,KaydenTroffChess,WanderingPuppet,1-0,2357,2067,180+2,12:07:27 PDT,KaydenTroffChess won by resignation,"d2d4,g8f6,c2c4,g7g6,b1c3,f8g7,e2e4,d7d6,g1f3,e8g8,f1e2,e7e5,e1g1,b8c6,d4d5,c6e7,f3e1,f6d7,c1e3,f7f5,f2f3,f5f4,e3f2,g6g5,a1c1,e7g6,c4c5,d7c5,b2b4,c5a6,c3b5,h7h5,e1d3,f8f7,f2e1,g7f8,d3f2,f7g7,e1d2,c8d7,a2a4,g6h4,h2h3,f8e7,c1c4,g5g4,f3g4,h4g2,g1g2,e7h4,d2e1,h4g3,f2h1,h5g4,h3g4,d7b5,a4b5,a6b8,e1g3,f4g3,h1g3,b8d7,g3f5,g7g6,f1h1,d7f6,h1h6,g6h6,f5h6,g8g7,h6f5,g7f7,g4g5"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,XeresLt,chesstatour,1-0,2281,1796,180+2,12:07:33 PDT,XeresLt won by resignation,"e2e4,c7c6,d2d4,d7d5,b1c3,d5e4,c3e4,g8f6,e4f6,g7f6,g2g3,c8f5,f1g2,e7e6,g1e2,h7h5,h2h4,f8d6,c1f4,d8c7,e1g1,b8d7,c2c4,f5g4,f4d6,c7d6,d4d5,c6d5,c4d5,e6e5,f1e1,e8g8,d1d3,g8g7,a1c1,a8c8,f2f3,d7c5,d3e3,g4d7,f3f4,f8e8,e3a3,a7a6,f4e5,f6e5,e1f1,d7b5,f1f2,b7b6,c1f1,e8e7,a3f3,d6g6,g2h3,e5e4,f3c3,g7h7,h3f5,e4e3,f5g6,f7g6,f2f7,e7f7,f1f7"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,GedoGluperd,Danesz22,0-1,2306,2259,180+2,12:07:35 PDT,Danesz22 won by resignation,"d2d4,g8f6,c1g5,d7d5,g5f6,e7f6,e2e3,c7c6,c2c4,d8b6,d1d2,d5c4,f1c4,f8b4,b1c3,e8g8,g1e2,f8d8,a2a3,b4f8,e1g1,b8a6,a1c1,c6c5,d4d5,a6c7,e3e4,c7e8,c1d1,e8d6,c4a2,d8e8,e2g3,c8d7,g1h1,g7g6,f2f4,h7h5,e4e5,f6e5,f4e5,e8e5,d2f4,f8g7,c3e4,d6f5,d5d6,h5h4,g3f5,e5f5,f4h4,b6b2,e4g5,b2a2,f1f5,d7f5,h2h3,a2e2,d1e1,e2h5,h4f4,g7h6,d6d7,h5g5,e1e8,g8g7,f4e5,g5f6,e5c5,f6a1,h1h2,h6f4,g2g3,a1b2,h2g1,b2c1,c5c1,f4c1,e8a8,f5d7,g1g2,d7c6,g2f2,c1a3,f2e3,a3c5"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,HZMC92,Th3ChessViking,1-0,2165,2387,180+2,12:07:46 PDT,HZMC92 won on time,"d2d4,g8f6,c2c4,c7c5,e2e3,g7g6,g1f3,f8g7,b1c3,e8g8,f1e2,d7d5,c4d5,f6d5,e1g1,c5d4,e3d4,b8c6,c1g5,c8g4,h2h3,g4f5,a2a3,h7h6,g5h4,d5f4,h4g3,f4e2,c3e2,f5e4,f3e5,c6e5,g3e5,f7f6,e5g3,e4d5,e2c3,a8c8,f1e1,f8f7,d1a4,a7a6,a4b4,g7f8,b4a4,e7e6,a4c2,f6f5,c2d2,g6g5,g3e5,f7d7,a1c1,c8c6,c3d5,d7d5,c1c6,b7c6,d2c2,c6c5,g2g4,c5d4,g4f5,d4d3,c2c6,d3d2,c6e6,g8h7,e6f7"
*** Monthly 3|2 Blitz Masters,Chess.com,2014.10.28,1,Nouki,ruzomberok,1-0,2600,2245,180+2,12:08:10 PDT,Nouki won by checkmate,"d2d4,g8f6,c2c4,g7g6,b1c3,f8g7,g1f3,e8g8,c1g5,d7d6,e2e3,c7c5,d4d5,h7h6,g5h4,g6g5,h4g3,f6h5,f3d2,h5g3,h2g3,e7e6,d5e6,c8e6,f1e2,b8d7,a1c1,a7a6,e1g1,f7f5,e2f3,a8b8,b2b3,d7e5,f3d5,d8e8,d2f3,e5g4,d5e6,e8e6,d1d5,e6d5,c3d5,b7b5,f1d1,g4e5,f3e5,g7e5,d5e7,g8h7,e7c6,b8c8,c6e5,d6e5,d1d5,f8d8,c1d1,d8d5,d1d5,b5c4,b3c4,a6a5,d5e5,h7g6,e5e6,g6h5,f2f3,c8b8,e6f6,b8b4,f6f5,b4c4,f5f6,g5g4,f3f4,a5a4,f6c6,c4c3,e3e4,a4a3,e4e5,c3c2,f4f5,h5g5,f5f6,g5g6,c6c7,c2a2,c7g7,g6h5,f6f7,a2a1,g1f2,a3a2,f7f8q,a1f1,f2f1,a2a1q,f1f2,a1d4,f2e2,d4c4,e2e1,c4c1,e1f2,c1b2,f2g1,b2d4,g1h2,d4e5,f8f7"
